Date,Day-ahead Price [EUR/MWh],Wind Offshore  [MW] Day Ahead
01/10/2018,100,946.9166667
02/10/2018,72.22,1674.083333
03/10/2018,80.61,1291.333333
04/10/2018,71.6,910.7916667
05/10/2018,80.55,509.6666667
06/10/2018,103.46,842.25
07/10/2018,71.15,2174.583333
08/10/2018,71.11,2934.083333
09/10/2018,63.07,3019.625
10/10/2018,74.46,2677.833333
11/10/2018,74.21,2113.958333
12/10/2018,64.54,2808.791667
13/10/2018,89.51,653.7083333
14/10/2018,85.81,544.2916667
15/10/2018,111.61,674.5416667
16/10/2018,70,2061.083333
17/10/2018,80.14,486
18/10/2018,92.97,260.8333333
19/10/2018,80.74,845.1666667
20/10/2018,81.48,1374.5
21/10/2018,77.01,1575.875
22/10/2018,90,1024.208333
23/10/2018,73.4,1607.541667
24/10/2018,78.96,762.625
25/10/2018,101.57,848.7916667
26/10/2018,82.82,2514.708333
27/10/2018,73.56,2123.791667
28/10/2018,72.65,517.36
29/10/2018,66.44,1233.166667
30/10/2018,90,592.75
31/10/2018,84.82,467.75
01/11/2018,82.89,392.4583333
02/11/2018,75,1621.666667
03/11/2018,57.82,3428.458333
04/11/2018,72.33,1740.583333
05/11/2018,82.59,431.875
06/11/2018,55.03,2048.791667
07/11/2018,74.43,987.625
08/11/2018,62.79,1750.333333
09/11/2018,58,2748.25
10/11/2018,75.06,1066.75
11/11/2018,66.57,1607.625
12/11/2018,69.1,2170.166667
13/11/2018,69.76,2333.333333
14/11/2018,62.22,3292.458333
15/11/2018,66.6,2327.833333
16/11/2018,72.36,2188.375
17/11/2018,67.67,2609.166667
18/11/2018,66,2335.75
19/11/2018,77.57,1815.875
20/11/2018,69.19,1713.541667
21/11/2018,72.7,1167.291667
22/11/2018,85.93,1814.5
23/11/2018,93.7,1217.75
24/11/2018,77.26,837.4583333
25/11/2018,73.52,917.0416667
26/11/2018,94.81,1109.791667
27/11/2018,68.69,2463.375
28/11/2018,53,3470.666667
29/11/2018,70,2534.041667
30/11/2018,64.84,2564.416667
01/12/2018,79.71,1210
02/12/2018,70.46,1547.166667
03/12/2018,89.4,510.1666667
04/12/2018,123.74,553.25
05/12/2018,73.88,1137.583333
